timestamp,open,high,low,close,volume,timestamp_close,quote_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-01-01 00:00:00,93390.63,94292.02,93277.24,94210.47,84.34573,1735693199999999.0,7904920.7395094,4544.0,54.16464,5076975.3626119,0.0
2025-01-01 01:00:00,94208.01,94212.02,93400.0,93425.49,86.89082,1735696799999999.0,8148638.4876973,3710.0,38.32261,3594496.7841112,0.0
2025-01-01 02:00:00,93425.48,93894.0,93400.01,93886.53,101.79121,1735700399999999.0,9528635.5678911,3077.0,45.52777,4262356.167362,0.0
2025-01-01 03:00:00,93884.52,93884.52,93536.09,93635.99,34.69043,1735703999999999.0,3249939.6729515,1457.0,16.78684,1572659.0149718,0.0
2025-01-01 04:00:00,93633.99,93633.99,93333.48,93362.62,32.24409,1735707599999999.0,3014614.9039695,1820.0,15.12938,1414373.5118196,0.0
2025-01-01 05:00:00,93365.38,93708.57,93348.0,93575.99,29.91476,1735711199999999.0,2798417.4164877,1808.0,18.37117,1718589.7412972,0.0
2025-01-01 06:00:00,93580.2,93580.21,93371.34,93555.98,23.22872,1735714799999999.0,2170874.1378357,1584.0,14.49661,1354781.4189459,0.0
2025-01-01 07:00:00,93555.98,93606.93,93455.98,93486.92,35.18542,1735718399999999.0,3291094.664477,1747.0,23.19082,2169133.6477688,0.0
2025-01-01 08:00:00,93486.92,93560.14,93111.99,93260.55,44.89239,1735721999999999.0,4189729.2416576,3153.0,18.89541,1764210.2460356,0.0
2025-01-01 09:00:00,93260.55,93314.94,92730.31,93228.55,92.86505,1735725599999999.0,8636434.4781585,5670.0,43.67451,4062634.9972465,0.0
2025-01-01 10:00:00,93232.05,93360.18,93096.0,93144.0,42.84499,1735729199999999.0,3995250.6148983,3022.0,25.71134,2397711.2519196,0.0
2025-01-01 11:00:00,93144.76,93556.19,93008.0,93260.68,46.0826,1735732799999999.0,4298312.8329535,3306.0,29.3786,2740561.8412515,0.0
2025-01-01 12:00:00,93256.78,93776.0,93202.83,93632.22,63.19194,1735736399999999.0,5909456.4518051,4493.0,40.07765,3748222.3445499,0.0
2025-01-01 13:00:00,93626.74,93875.0,93410.91,93840.43,75.08783,1735739999999999.0,7029018.4263505,3754.0,51.98194,4866527.5195641,0.0
2025-01-01 14:00:00,93840.44,94259.64,93484.38,93982.22,124.59563,1735743599999999.0,11700894.4581988,6823.0,67.5474,6344369.2655849,0.0
2025-01-01 15:00:00,93988.82,94300.0,93721.54,94235.99,86.33034,1735747199999999.0,8115911.7377074,4712.0,51.43573,4836732.2075234,0.0
2025-01-01 16:00:00,94229.02,94308.65,93716.0,93902.14,85.42159,1735750799999999.0,8027728.8674174,5198.0,45.10054,4237980.9170869,0.0
2025-01-01 17:00:00,93901.01,93990.0,93542.8,93942.68,117.0734,1735754399999999.0,10978843.5947829,4581.0,72.51774,6800566.3163667,0.0
2025-01-01 18:00:00,93936.89,94162.21,93737.56,94117.06,68.01258,1735757999999999.0,6392431.7635076,4113.0,41.61757,3912228.3608838,0.0
2025-01-01 19:00:00,94117.06,94636.28,93928.0,94430.97,123.31157,1735761599999999.0,11628928.9147149,6338.0,73.42962,6923129.324332,0.0
2025-01-01 20:00:00,94431.61,94668.29,94400.0,94608.01,111.66412,1735765199999999.0,10559780.0106504,4572.0,49.8194,4710895.0853304,0.0
2025-01-01 21:00:00,94608.01,94955.17,94440.5,94784.28,177.232,1735768799999999.0,16775459.6205135,6797.0,84.22203,7973355.2855579,0.0
2025-01-01 22:00:00,94779.99,94800.0,94492.01,94596.01,83.87231,1735772399999999.0,7936286.1970734,3766.0,39.27907,3716642.3849562,0.0
2025-01-01 23:00:00,94596.0,94757.18,94267.81,94387.3,87.22594,1735775999999999.0,8240174.4217754,3632.0,35.03987,3310607.7632466,0.0
2025-01-02 00:00:00,94387.3,95180.67,94188.2,94927.37,170.94902,1735779599999999.0,16194312.5979029,8789.0,98.61131,9342739.6571747,0.0
2025-01-02 01:00:00,94927.98,95332.0,94536.0,94681.12,137.1265,1735783199999999.0,13017338.8983249,6039.0,76.56625,7268230.1765435,0.0
2025-01-02 02:00:00,94681.12,95052.0,94617.13,95052.0,93.18474,1735786799999999.0,8839086.6713776,4380.0,58.13945,5514861.1202948,0.0
2025-01-02 03:00:00,95052.0,95118.76,94731.04,94837.55,66.90899,1735790399999999.0,6348221.2294304,3056.0,39.27619,3726465.5532067,0.0
2025-01-02 04:00:00,94836.15,95836.0,94805.0,95516.21,145.2131,1735793999999999.0,13852489.2379101,6698.0,81.09544,7735696.2341081,0.0
2025-01-02 05:00:00,95534.56,95636.35,95214.46,95414.8,96.34817,1735797599999999.0,9195655.3511032,3768.0,53.12243,5070461.2937397,0.0
2025-01-02 06:00:00,95418.45,95517.3,95205.5,95439.21,69.96115,1735801199999999.0,6669322.9566105,2915.0,32.67792,3115210.2783341,0.0
2025-01-02 07:00:00,95439.21,95738.18,95366.78,95693.89,93.2679,1735804799999999.0,8918729.714439,3885.0,50.04817,4785216.5704562,0.0
